leasecarId,make,model,duration,mileage,pricePerMonth
377197,Opel,Corsa,72,5000,359.0
377197,Opel,Corsa,24,7500,534.0
377197,Opel,Corsa,36,7500,494.0
377197,Opel,Corsa,48,7500,454.0
377197,Opel,Corsa,60,7500,414.0
377197,Opel,Corsa,72,7500,374.0
377197,Opel,Corsa,24,10000,549.0
377197,Opel,Corsa,36,10000,509.0
377197,Opel,Corsa,48,10000,469.0
377197,Opel,Corsa,60,10000,429.0
377197,Opel,Corsa,72,10000,389.0
377197,Opel,Corsa,24,12500,569.0
377197,Opel,Corsa,36,12500,529.0
377197,Opel,Corsa,48,12500,489.0
377197,Opel,Corsa,60,12500,449.0
377197,Opel,Corsa,72,12500,409.0
377197,Opel,Corsa,24,15000,589.0
377197,Opel,Corsa,36,15000,549.0
377197,Opel,Corsa,48,15000,509.0
377197,Opel,Corsa,60,15000,469.0
377197,Opel,Corsa,72,15000,429.0
377197,Opel,Corsa,24,17500,609.0
377197,Opel,Corsa,36,17500,569.0
377197,Opel,Corsa,48,17500,529.0
377197,Opel,Corsa,60,17500,489.0
377197,Opel,Corsa,72,17500,449.0
377197,Opel,Corsa,24,20000,629.0
377197,Opel,Corsa,36,20000,589.0
377197,Opel,Corsa,48,20000,549.0
377197,Opel,Corsa,60,20000,509.0
377197,Opel,Corsa,72,20000,469.0
377197,Opel,Corsa,24,25000,669.0
377197,Opel,Corsa,36,25000,629.0
377197,Opel,Corsa,48,25000,589.0
377197,Opel,Corsa,60,25000,549.0
377197,Opel,Corsa,72,25000,509.0
377197,Opel,Corsa,24,30000,709.0
377197,Opel,Corsa,36,30000,669.0
377197,Opel,Corsa,48,30000,629.0
377197,Opel,Corsa,60,30000,589.0
377197,Opel,Corsa,72,30000,549.0
377197,Opel,Corsa,24,35000,749.0
377197,Opel,Corsa,36,35000,709.0
377197,Opel,Corsa,48,35000,669.0
377197,Opel,Corsa,60,35000,629.0
377197,Opel,Corsa,72,35000,589.0
377197,Opel,Corsa,24,40000,789.0
377197,Opel,Corsa,36,40000,749.0
377197,Opel,Corsa,48,40000,709.0
377197,Opel,Corsa,60,40000,669.0
377197,Opel,Corsa,72,40000,629.0
377190,Citroen,ë-C3,24,5000,569.0
377190,Citroen,ë-C3,36,5000,469.0
377190,Citroen,ë-C3,48,5000,419.0
377190,Citroen,ë-C3,60,5000,394.0
377190,Citroen,ë-C3,72,5000,369.0
377190,Citroen,ë-C3,24,7500,581.0
377190,Citroen,ë-C3,36,7500,481.0
377190,Citroen,ë-C3,48,7500,431.0
377190,Citroen,ë-C3,60,7500,406.0
377190,Citroen,ë-C3,72,7500,381.0
377190,Citroen,ë-C3,24,10000,594.0
377190,Citroen,ë-C3,36,10000,494.0
377190,Citroen,ë-C3,48,10000,444.0
377190,Citroen,ë-C3,60,10000,419.0
